iso3,country_name,capital,continent,region,hemisphere,landlocked,island_nation,land_area_km2,un_member,eu_member,oecd_member,nato_member,g20_member,commonwealth_member,opec_member,primary_language_family,income_group,gdp_per_capita_ppp,gdp_tier,unemployment_rate,industry_pct_gdp,services_pct_gdp,agriculture_pct_gdp,economic_structure,rd_expenditure_pct_gdp,inflation_pct,population_total,population_tier,population_density,density_tier,population_growth_pct,urban_population_pct,urbanization_tier,fertility_rate,fertility_tier,pop_65_plus_pct,aging_tier,life_expectancy,life_expectancy_tier,infant_mortality,health_expenditure_pct_gdp,education_expenditure_pct_gdp,internet_users_pct,internet_tier,electricity_access_pct,imputed_fields_count
DJI,Djibouti,Djibouti,Africa,Eastern Africa,Northern,0,0,23200,1,0,0,0,0,0,0,Afro-Asiatic,Lower middle income,7810.27869066792,Lower-middle,26.007,15.913892950777,76.0847593876274,2.5119476858486,Service-dominant,0.333915,2.1120116728497,1168722.0,Small,49.7387402933563,Moderate,1.3592172957681,72.9052635052978,Urban,2.618,Replacement,4.85081139911801,Young,66.202,Medium,43.0,2.28316021,3.75143003463745,65.29889679,Medium,65.2,1
DMA,Dominica,Roseau,Americas,Caribbean,Northern,0,1,751,1,0,0,0,0,1,0,Indo-European,Upper middle income,21300.6848698089,Upper-middle,5.4990000000000006,13.8759556554372,56.9414724889515,12.2243249927419,Mixed,0.25372,2.56921890367725,66205.0,Tiny,88.68,Moderate,-0.459632350460969,73.5449839980866,Urban,1.48,Below-replacement,12.9559700928933,Mature,71.294,High,33.3,5.00757647,5.38572189060925,82.04689789,High,100.0,2
DNK,Denmark,Copenhagen,Europe,Northern Europe,Northern,0,0,43094,1,1,1,1,0,0,0,Indo-European,High income,81878.2349849181,High,5.358,24.1417253330521,63.5495635161649,0.927722262099888,Service-dominant,3.04841,1.37220049768925,5976992.0,Small,148.6738,Moderate,0.503861198167737,88.6960552688405,Hyper-urban,1.47,Below-replacement,20.8660704666167,Super-aged,82.2536585365854,Very-high,3.5,9.38812923,6.35586023330688,99.76915157,Very-high,100.0,0
DOM,Dominican Republic,Santo Domingo,Americas,Caribbean,Northern,0,1,48671,1,0,0,0,0,0,0,Indo-European,Upper middle income,27541.6625283384,Upper-middle,5.312,28.724388436827,59.8121925635257,4.45398448187972,Mixed,0.25372,3.30223338951227,11427557.0,Medium,235.098143035751,Dense,0.846199988604412,72.4121874752151,Urban,2.222,Replacement,7.87947502690208,Maturing,73.868,High,27.7,4.59880495,3.7606477375256,91.0022446,Very-high,99.6,1
DZA,Algeria,Algiers,Africa,Northern Africa,Northern,0,0,2381741,1,0,0,0,0,0,1,Afro-Asiatic,Upper middle income,17620.7423956126,Upper-middle,11.655,36.1956789537864,46.7949847002474,13.9597061505767,Industry-heavy,0.44395,4.04611455313434,46814308.0,Medium,19.3825602290762,Sparse,1.39838651912702,75.2792907190618,Urban,2.723,Replacement,6.58221207266603,Maturing,76.475,High,19.5,4.35082531,8.97772026062012,77.4178009,High,100.0,0
ECU,Ecuador,Quito,Americas,South America,Northern,0,0,276841,1,0,0,0,0,0,0,Indo-European,Upper middle income,15840.2668567412,Upper-middle,3.453,26.5126558399741,57.156644024501,9.47610095074641,Mixed,0.25372,1.54732515615369,18135478.0,Medium,72.3952448059269,Moderate,0.860548498593581,63.2376932397602,Urban,1.806,Below-replacement,8.34399866229053,Maturing,77.579,High,10.9,7.56167889,3.69074988365173,77.17273115,High,98.7,1
EGY,"Egypt, Arab Rep.",Cairo,Africa,Northern Africa,Northern,0,0,1002450,1,0,0,0,0,0,0,Afro-Asiatic,Lower middle income,19094.1449444111,Upper-middle,6.817,32.5624789967949,48.932455490468,13.7121128792805,Mixed,1.01757,28.2705899322082,116538258.0,Large,115.059291777588,Moderate,1.73324205302065,42.8004363938404,Mixed,2.735,Replacement,5.11629539338187,Maturing,71.806,High,20.8,4.88449335,3.68211495876312,74.64839935,High,100.0,1
ERI,Eritrea,Asmara,Africa,Eastern Africa,Northern,0,0,117600,1,0,0,0,0,0,0,Afro-Asiatic,Low income,2082.874607309785,Low,5.947,22.652179108455,43.9471331300685,25.1764811733064,Agriculture-significant,0.21770499999999998,7.61335784313723,3535603.0,Small,28.638732049164,Sparse,1.86168851424672,34.5365524291992,Mixed,3.68,High,4.20287571879535,Young,68.893,Medium,24.7,3.6837678,2.946184505782845,14.34939957,Low,54.4,7
ESP,Spain,Madrid,Europe,Southern Europe,Northern,0,0,505992,1,1,1,1,0,0,0,Indo-European,High income,57965.2948138837,High,11.4,19.4537517327028,68.9025484059134,2.75300596488807,Service-dominant,1.49362,2.77417826534772,48848840.0,Medium,96.7636173412149,Moderate,1.02121260938381,80.315199821207,Urban,1.1,Below-replacement,21.1454438932121,Super-aged,83.8878048780488,Very-high,2.6,9.2206583,4.58553981781006,95.7574516,Very-high,100.0,0
EST,Estonia,Tallinn,Europe,Northern Europe,Northern,0,0,45227,1,1,1,1,0,0,0,Uralic,High income,49968.7108278373,High,7.6,20.148164473251,65.6971144966199,1.76684782957851,Service-dominant,1.83878,3.5194118998392,1372341.0,Small,32.0684764802247,Moderate,0.149856351926424,70.6981161541961,Urban,1.18,Below-replacement,21.2973321004949,Super-aged,79.2951219512195,Very-high,1.5,7.83648062,5.20733976364136,92.23796204,Very-high,100.0,0
FIN,Finland,Helsinki,Europe,Northern Europe,Northern,0,0,338455,1,1,1,1,0,0,0,Uralic,High income,65378.3841859721,High,8.4,22.7842138257665,62.2144997698967,2.46735975474973,Service-dominant,3.0938,1.56568906231615,5619911.0,Small,18.3705454665088,Sparse,0.642640054363343,74.2637190463636,Urban,1.25,Below-replacement,23.8972369428395,Super-aged,82.3365853658537,Very-high,1.9,10.47389507,6.37578010559082,93.72405196,Very-high,100.0,0
FJI,Fiji,Suva,Oceania,Melanesia,Southern,0,1,18272,1,0,0,0,0,1,0,Austronesian,Upper middle income,15450.2993265388,Upper-middle,5.361,16.4638965835642,54.5684210526316,13.190027700831,Mixed,1.54848,3.89084237884105,928784.0,Tiny,50.5826491516147,Moderate,0.500721796949901,59.0766602292457,Mixed,2.27,Replacement,6.48697651983669,Maturing,67.463,Medium,23.5,3.61524153,4.24679790890603,74.7052002,High,99.3,1
FRA,France,Paris,Europe,Western Europe,Northern,0,0,543908,1,1,1,1,1,0,0,Indo-European,High income,62556.91810454,High,7.4,17.2101481972036,70.9141844211851,1.29979455802577,Service-dominant,2.17832,1.99904942291462,68551653.0,Large,126.862020595603,Moderate,0.261995241898747,78.7999750964116,Urban,1.61,Below-replacement,22.1465618989138,Super-aged,82.9804878048781,Very-high,3.4,11.53530598,5.32434988021851,88.65381638,High,100.0,0
FRO,Faroe Islands,Torshavn,Europe,Northern Europe,Northern,0,1,1393,0,0,0,0,0,0,0,Indo-European,High income,81908.7781785018,High,5.25,18.2998185585605,53.8269113084182,16.0666931492436,Agriculture-significant,1.69491,2.593769093427775,54681.0,Tiny,39.7182481751825,Moderate,0.489482621742025,39.4132325882965,Mixed,1.9129,Below-replacement,17.7375247069017,Aged,83.0832463414634,Very-high,2.95,8.44437313,4.56857490539551,97.5819589384468,Very-high,100.0,6
FSM,"Micronesia, Fed. Sts.",Palikir,Oceania,Micronesia,Northern,0,1,702,1,0,0,0,0,0,0,Austronesian,Lower middle income,4346.84249671875,Low,2.625,4.99334889583356,67.9119759103304,22.789770870607,Agriculture-significant,0.03158,5.40874375479067,113160.0,Tiny,160.9,Dense,0.469463637376133,22.4562830235421,Rural,2.743,Replacement,5.94951418560363,Maturing,67.357,Medium,20.3,12.88087559,11.5591397849462,39.52360153,Medium,86.9,2
GAB,Gabon,Libreville,Africa,Middle Africa,Northern,0,0,267668,1,0,0,0,0,1,1,Niger-Congo,Upper middle income,21510.1725307344,Upper-middle,20.091,52.9002411654134,36.8219109135811,6.55914438063524,Industry-heavy,0.44395,1.17311998381218,2538952.0,Small,9.64329956921644,Sparse,2.15636509762581,91.8632094677575,Hyper-urban,3.592,High,4.08255139966242,Young,68.511,Medium,25.9,3.13430715,2.31594287726056,68.72090149,Medium,94.1,1
GBR,United Kingdom,London,Europe,Northern Europe,Northern,0,1,244376,1,0,1,1,1,1,0,Indo-European,High income,62009.4907765366,High,4.361,17.1246523065486,72.4462431770253,0.638070794582258,Service-dominant,2.67614,3.2715729463592,69226000.0,Large,283.106683751498,Dense,1.0659564474212,83.2429544416085,Urban,1.551,Below-replacement,19.4997673608515,Aged,81.3868536585366,Very-high,4.1,11.133358,5.90681982040405,95.4720993,Very-high,100.0,0
GEO,Georgia,Tbilisi,Asia,Western Asia,Northern,0,0,69700,1,0,0,0,0,0,0,Kartvelian,Upper middle income,28285.0732802982,Upper-middle,11.557,19.5837398345335,61.9845889346039,5.48544272121412,Service-dominant,0.26435,1.10971758022096,3699557.0,Small,65.0037265124742,Moderate,-0.429560042538271,61.0789605093733,Urban,1.802,Below-replacement,15.6376865642243,Aged,74.657,High,7.5,6.85758877,3.98011682083814,83.79855689,High,100.0,0
GHA,Ghana,Accra,Africa,Western Africa,Northern,0,0,238533,1,0,0,0,0,1,0,Niger-Congo,Lower middle income,8019.99702389611,Lower-middle,2.82,31.519769781916,40.9369495390296,20.8867457674884,Agriculture-significant,0.333915,22.8483281157842,34427414.0,Medium,148.49676310689,Moderate,1.87500010333119,58.3654868038581,Mixed,3.344,High,3.70833260535242,Young,65.695,Medium,27.5,2.94686937,2.90963831638452,72.17569733,High,89.5,1
GIN,Guinea,Conakry,Africa,Western Africa,Northern,0,0,245857,1,0,0,0,0,0,0,Niger-Congo,Lower middle income,4565.3007888456,Low,5.132,25.1163848517075,36.3402000064846,30.9605751418076,Agriculture-significant,0.333915,8.12313914948596,14754785.0,Medium,58.6255412664822,Moderate,2.39595802290484,38.0713036688655,Mixed,4.131,High,3.45511630785822,Young,60.904,Medium,59.8,3.69442987,1.72470879088585,33.30469894,Medium,51.1,1
GMB,"Gambia, The",Banjul,Africa,Western Africa,Northern,0,0,10689,1,0,0,0,0,1,0,Niger-Congo,Low income,3475.61245701341,Low,6.48,15.3332836096686,56.7898192312049,20.4335632419718,Agriculture-significant,0.06933,11.5610532897511,2759988.0,Small,266.5854743083,Dense,2.27730257212036,64.2994103409645,Urban,3.907,High,3.07823857897907,Young,66.057,Medium,32.7,2.89250112,2.80838156544977,49.49430084,Medium,66.9,0
GNB,Guinea-Bissau,Bissau,Africa,Western Africa,Northern,0,0,36125,1,0,0,0,0,0,0,Niger-Congo,Low income,3119.37157047437,Low,2.647,15.6143788633346,37.8848107222008,42.1674326567232,Agriculture-significant,0.21770499999999998,3.76555825770114,2201352.0,Small,76.5767780938834,Moderate,2.20520563612008,46.113204421822,Mixed,3.757,High,3.191856640828,Young,64.254,Medium,42.1,8.82204819,2.946184505782845,29.77739906,Low,40.5,2
GNQ,Equatorial Guinea,Malabo,Africa,Middle Africa,Northern,0,0,28051,1,0,0,0,0,0,1,Niger-Congo,Upper middle income,17566.7600284073,Upper-middle,8.293,45.7526505675476,51.0975150164696,3.14907045947484,Industry-heavy,0.44395,2.92140227309103,1892516.0,Small,65.8662745098039,Moderate,2.40472649031131,71.3574028749806,Urban,4.116,High,3.68789387041011,Young,63.906,Medium,47.6,3.49941635,5.184692728959895,63.29930115,Medium,66.9,2
GRC,Greece,Athens,Europe,Southern Europe,Northern,0,0,131990,1,1,1,1,0,0,0,Indo-European,High income,44327.2097808276,High,10.02,14.9985220031197,68.0104871945665,3.765512541308,Service-dominant,1.4943,2.74101875679477,10405134.0,Medium,80.7397284716835,Moderate,-0.0213045199396999,78.9967856500534,Urban,1.24,Below-replacement,23.939763430194,Super-aged,81.8390243902439,Very-high,3.2,8.39367008,3.37547993659973,86.26968886,High,100.0,0
GRD,Grenada,Saint George's,Americas,Caribbean,Northern,0,1,344,1,0,0,0,0,1,0,Indo-European,Upper middle income,20177.8094927386,Upper-middle,5.4990000000000006,15.162330124346,65.7100896824668,2.94694102338439,Service-dominant,0.25372,1.08615365134737,117207.0,Tiny,344.355882352941,Dense,0.107559936614412,36.5628000454229,Mixed,1.472,Below-replacement,12.2394044749696,Mature,75.367,High,16.4,4.65330839,5.12544845968893,70.16159821,High,94.4,2
GRL,Greenland,Nuuk,Americas,Northern America,Northern,0,1,2166086,0,0,0,0,0,0,0,Eskimo-Aleut,High income,78840.5978395988,High,7.5725,18.4467840952227,60.9876564756598,16.5579499888738,Agriculture-significant,0.39205,2.501895833531155,56836.0,Tiny,0.138543062492386,Sparse,-0.0510109860579076,88.3195347935238,Hyper-urban,1.706,Below-replacement,10.8086569543065,Mature,70.2734146341463,High,9.1,7.19602823,3.587244718715085,69.4824617821988,Medium,100.0,6
GTM,Guatemala,Guatemala City,Americas,Central America,Northern,0,0,108889,1,0,0,0,0,0,0,Indo-European,Upper middle income,14368.6605681815,Lower-middle,2.613,21.7347298279081,61.839861654601,9.7799315643005,Service-dominant,0.00609,2.86992752918294,18406359.0,Medium,169.138092571855,Dense,1.54129399660934,55.9547027274763,Mixed,2.287,Replacement,4.84933494994855,Young,72.746,High,17.2,6.80241346,3.07588005065918,60.22140121,Medium,100.0,0
GUY,Guyana,Georgetown,Americas,South America,Northern,0,0,214969,1,0,0,0,0,1,0,Indo-European,High income,80155.03939277,High,11.874,76.0337794804727,14.4608458483035,7.62253326656522,Industry-heavy,0.39205,2.90395226446373,831087.0,Tiny,3.91376811594203,Sparse,0.571243951310838,26.477717988557,Rural,2.395,Replacement,6.73491868776595,Maturing,70.319,High,23.2,2.46673751,4.45058012008667,83.00080109,High,98.9,1
HKG,"Hong Kong SAR, China",Hong Kong,Asia,Eastern Asia,Northern,0,0,1104,0,0,0,0,0,0,0,Sino-Tibetan,High income,75195.9865970615,High,2.988,6.19613151610629,91.7510158754355,0.0374477102095245,Service-dominant,1.12597,1.72972119105914,7524100.0,Small,7177.2380952381,Very-dense,-0.159360467186035,100.0,Hyper-urban,0.841,Below-replacement,22.6671478593232,Super-aged,85.3926829268293,Very-high,4.4,4.96703553,3.80552005767822,95.75536971,Very-high,100.0,2
HND,Honduras,Tegucigalpa,Americas,Central America,Northern,0,0,112492,1,0,0,0,0,0,0,Indo-European,Lower middle income,7486.01869616445,Lower-middle,4.91,26.1259397552196,58.4090033001636,11.2186537185053,Mixed,0.05997,4.60621098127107,10825703.0,Medium,95.1367503798373,Moderate,1.68469129774697,58.7850728104829,Mixed,2.476,Replacement,4.41772213694935,Young,73.044,High,12.8,7.70976162,4.54962037172702,58.62269974,Medium,95.6,0
HRV,Croatia,Zagreb,Europe,Southern Europe,Northern,0,0,56594,1,1,0,1,0,0,0,Indo-European,High income,49550.7921506017,High,5.0,19.1915825783267,60.8374324880176,2.89588951437996,Service-dominant,1.38621,2.97200477643618,3866200.0,Small,68.9722301644031,Moderate,0.168627948783285,57.5158981711443,Mixed,1.46,Below-replacement,23.1877713482095,Super-aged,78.9292682926829,Very-high,4.1,7.14699411,4.0916600227356,83.63240029,High,100.0,0
HTI,Haiti,Port-au-Prince,Americas,Caribbean,Northern,0,1,27750,1,0,0,0,0,0,0,Creole,Lower middle income,3193.67136419915,Low,14.609,33.3589256118432,48.3129615585975,15.8601607482058,Agriculture-significant,0.06308,26.9490564091987,11772557.0,Medium,422.256821480406,Dense,1.15472671204546,55.0372652481002,Mixed,2.625,Replacement,4.70521824612954,Young,65.119,Medium,39.0,3.19156528,0.964648012977964,47.8614006,Medium,51.3,1
HUN,Hungary,Budapest,Europe,Eastern Europe,Northern,1,0,93028,1,1,1,1,0,0,0,Uralic,High income,48552.4708092529,High,4.5,23.693891331248,59.5231534203363,2.71112134044753,Mixed,1.37748,3.70370370370369,9562065.0,Small,105.108327854482,Moderate,-0.314510077464087,70.491825943218,Urban,1.41,Below-replacement,20.9931972318078,Super-aged,76.7243902439025,High,3.1,6.36868954,3.8011999130249,93.77898628,Very-high,100.0,0
IDN,Indonesia,Jakarta,Asia,South-eastern Asia,Southern,0,1,1904569,1,0,0,0,1,0,0,Austronesian,Upper middle income,16448.2755179559,Upper-middle,3.301,39.3184857249869,43.7719167888796,12.6086658797584,Industry-heavy,0.28068,2.18151273615189,283487931.0,Mega,148.57692229227,Moderate,0.813871513351669,58.7509635387997,Mixed,2.115,Replacement,7.28860130431549,Maturing,71.288,High,15.2,2.70239949,1.27517088245674,72.78075544,High,99.4,0
IMN,Isle of Man,Douglas,Europe,Northern Europe,Northern,0,1,572,0,0,0,0,0,0,0,Indo-European,High income,62285.59280995445,High,5.25,6.93646402700019,95.1498044284005,0.372466783015541,Service-dominant,1.69491,2.593769093427775,84160.0,Tiny,147.657894736842,Moderate,-0.00594088816452728,52.1633405796294,Mixed,1.544,Below-replacement,23.1527854516073,Super-aged,81.091,Very-high,2.95,8.44437313,4.56857490539551,94.11262592,Very-high,100.0,8
IND,India,New Delhi,Asia,Southern Asia,Northern,0,0,3287263,1,0,0,0,1,1,0,Indo-European,Lower middle income,11159.9856476091,Lower-middle,4.173,24.6285041297852,49.874440225505,16.2854335605917,Agriculture-significant,0.64558,4.95303550973656,1450935791.0,Mega,483.679010086809,Dense,0.890706546985984,35.3788972368389,Mixed,1.962,Below-replacement,7.14651714039908,Maturing,72.235,High,23.3,3.33944035,4.09865814174589,64.9434967,Medium,99.5,0
IRL,Ireland,Dublin,Europe,Northern Europe,Northern,0,1,70273,1,1,1,0,0,0,0,Indo-European,High income,133437.470117019,High,4.3,33.6325795420542,60.5635643631863,1.02114448018423,Service-dominant,1.58829,2.11344999577317,5395790.0,Small,77.1017273914937,Moderate,1.57375843711631,64.3470379255585,Urban,1.47,Below-replacement,15.8920783803289,Aged,83.009756097561,Very-high,3.4,6.85410833,2.90461993217468,97.18769836,Very-high,100.0,0
IRN,"Iran, Islamic Rep.",Tehran,Asia,Southern Asia,Northern,0,0,1648195,1,0,0,0,0,0,1,Indo-European,Upper middle income,19873.8860853805,Upper-middle,8.146,36.0697232843721,49.7874655706935,10.8003685937198,Industry-heavy,0.72665,32.455871402917,91567738.0,Large,55.8451198767334,Moderate,1.05286922170537,77.0201263427734,Urban,1.684,Below-replacement,8.23901267627149,Maturing,77.854,High,10.3,6.02542305,2.82443290958712,85.3404007,High,100.0,0
IRQ,Iraq,Baghdad,Asia,Western Asia,Northern,0,0,438317,1,0,0,0,0,0,1,Afro-Asiatic,Upper middle income,14464.3186928173,Lower-middle,15.293,51.5717701751509,45.76618170304,3.39457505861722,Industry-heavy,0.0407,-12.2969837587007,46042015.0,Medium,103.826155759795,Moderate,2.12476784890538,69.8861494108913,Urban,3.221,High,3.41438792372575,Young,72.424,High,20.1,5.53275251,3.66036009788513,81.47450256,High,100.0,1
ISL,Iceland,Reykjavik,Europe,Northern Europe,Northern,0,1,103000,1,0,1,1,0,0,0,Indo-European,High income,84256.8454573112,High,3.6,20.0940830059377,64.8920846344191,3.98201137564491,Service-dominant,2.64005,5.85683849970066,386506.0,Tiny,3.82488346722206,Sparse,0.218346070592545,94.1819039916522,Hyper-urban,1.56,Below-replacement,15.6448154592516,Aged,82.809756097561,Very-high,2.1,8.98358727,7.30798006057739,98.209198,Very-high,100.0,0
ISR,Israel,Jerusalem,Asia,Western Asia,Northern,0,0,21937,1,0,1,0,0,0,0,Afro-Asiatic,High income,57235.7763244136,High,3.595,17.3458552066585,72.5367368776929,1.28207722826492,Service-dominant,6.34589,3.07480889805025,9974400.0,Small,455.129390018484,Dense,1.26518834033156,91.536188843818,Hyper-urban,2.87,Replacement,12.5526937672772,Mature,83.1975609756098,Very-high,2.7,7.09822369,5.93291997909546,88.18242225,High,100.0,0
ITA,Italy,Rome,Europe,Southern Europe,Northern,0,0,301336,1,1,1,1,1,0,0,Indo-European,High income,62014.2675153689,High,6.5,22.3316588315233,65.0483624576143,1.99727734716288,Service-dominant,1.37935,0.982373023061417,58952704.0,Large,199.459678073854,Dense,-0.0534387378437725,69.6047535143071,Urban,1.18,Below-replacement,24.624776723376,Super-aged,83.9512195121951,Very-high,2.3,8.44437313,4.06775999069214,89.2207202,High,100.0,0
JAM,Jamaica,Kingston,Americas,Caribbean,Northern,0,1,10991,1,0,0,0,0,1,0,Indo-European,Upper middle income,12890.2660051472,Lower-middle,3.151,16.4757796489003,59.9583265823094,7.96876352019587,Mixed,0.25372,5.41194447981659,2839175.0,Small,262.214773776547,Dense,-0.0215180207209529,58.9301585439922,Mixed,1.351,Below-replacement,8.20960314175773,Maturing,71.606,High,16.4,7.60493946,5.51383018493652,90.10870361,Very-high,97.7,1
JOR,Jordan,Amman,Asia,Western Asia,Northern,0,0,89342,1,0,0,0,0,0,0,Afro-Asiatic,Lower middle income,10821.4909765317,Lower-middle,16.693,25.1350172397528,60.3920761551012,5.06726012545217,Service-dominant,0.69547,1.55659611283953,11552876.0,Medium,128.828670856139,Moderate,0.988722042141178,92.9501393764286,Hyper-urban,2.604,Replacement,4.52316375593402,Young,77.981,High,12.0,7.66000605,3.23356008529663,95.62244985,Very-high,100.0,0
JPN,Japan,Tokyo,Asia,Eastern Asia,Northern,0,1,377930,1,0,1,0,1,0,0,Japonic,High income,52039.1716551611,High,2.5,28.6021835997719,69.7727958101915,0.937452748505902,Service-dominant,3.44125,2.73853681635241,123975371.0,Large,341.54455749932,Dense,-0.435651699326323,92.1901718034531,Hyper-urban,1.15,Below-replacement,29.7807703973917,Super-aged,84.0363414634146,Very-high,1.8,10.73979473,3.33663988113403,85.54153081,High,100.0,0
KAZ,Kazakhstan,Astana,Asia,Central Asia,Northern,1,0,2724900,1,0,0,0,0,0,0,Turkic,Upper middle income,40890.9317694408,High,4.833,32.112807813811,57.9427973400804,3.88229151651226,Mixed,0.16242,8.69082156104494,20592571.0,Medium,7.53050487091158,Sparse,1.28276364646616,62.072531584162,Urban,2.984,Replacement,8.65323470294214,Maturing,74.531,High,7.4,3.76701546,4.86469984054565,93.39167254,Very-high,100.0,0
KEN,Kenya,Nairobi,Africa,Eastern Africa,Northern,0,0,580367,1,0,0,0,0,1,0,Niger-Congo,Lower middle income,6644.13093243895,Lower-middle,5.487,16.4676669412723,55.3035358055896,22.4728462758555,Agriculture-significant,0.81069,4.48978854243448,56432944.0,Large,95.2681371231706,Moderate,1.95751431565234,31.8937831721599,Mixed,3.167,High,2.96616899017204,Young,63.834,Medium,34.2,4.35172892,4.02242346098974,34.97622513,Medium,76.2,0
KGZ,Kyrgyz Republic,Bishkek,Asia,Central Asia,Northern,1,0,199951,1,0,0,0,0,0,0,Turkic,Lower middle income,8012.45464442194,Lower-middle,3.491,24.7426957796029,52.1398197179977,8.60760362906387,Mixed,0.05269,4.99760701207323,7221868.0,Small,37.0164233576642,Moderate,1.70540730430368,34.7219977865937,Mixed,2.6,Replacement,5.68194389959712,Maturing,72.4,High,14.8,4.50344467,6.82694680798777,92.0286026,Very-high,100.0,0
KHM,Cambodia,Phnom Penh,Asia,South-eastern Asia,Northern,0,0,181035,1,0,0,0,0,0,0,Austroasiatic,Lower middle income,7966.87352428705,Lower-middle,0.254,41.7506561774631,35.5947222438947,16.576872609135,Agriculture-significant,0.08828,0.808042016536654,17638801.0,Medium,98.7076818490823,Moderate,1.22593986324555,40.8727033252729,Mixed,2.548,Replacement,6.16370427229448,Maturing,70.817,High,16.4,4.61706829,2.1809128340295,68.47530365,Medium,95.0,0
KIR,Kiribati,Tarawa,Oceania,Micronesia,Northern,0,1,811,1,0,0,0,0,1,0,Austronesian,Lower middle income,3702.32594703115,Low,2.625,11.4550652843384,67.1060228718493,27.1870061420609,Agriculture-significant,0.03158,2.45545072159028,134518.0,Tiny,163.617283950617,Dense,1.48889841912877,62.4620431275642,Urban,3.124,High,4.23660774022807,Young,66.6,Medium,38.8,10.94525623,16.39053,89.44029999,High,95.9,2
KNA,St. Kitts and Nevis,Basseterre,Americas,Caribbean,Northern,0,1,261,1,0,0,0,0,1,0,Indo-European,High income,34846.6035342828,Upper-middle,7.5725,20.8513587091026,66.1311026415219,1.28792753551453,Service-dominant,0.39205,3.55711230848243,46843.0,Tiny,179.838461538462,Dense,0.181622041143753,31.795061903951,Mixed,1.526,Below-replacement,11.2257968106227,Mature,72.281,High,13.9,5.73595428,3.49726171629099,76.88400269,High,100.0,2
KOR,"Korea, Rep.",Seoul,Asia,Eastern Asia,Northern,0,0,100210,1,0,1,0,1,0,0,Koreanic,High income,61051.3492502498,High,2.784,33.9025438024037,57.5005082410932,1.45825105459538,Mixed,4.94352,2.32174328643542,51751065.0,Large,529.842407786885,Very-dense,0.0743178674548815,81.1682528469686,Urban,0.748,Below-replacement,19.2735131316057,Aged,83.6292682926829,Very-high,2.3,8.67656994,5.40910005569458,97.89563777,Very-high,100.0,0
